PicoQuant FluoFit 4.6.5.0
Saved : 9/23/2014 12:39:33 PM

Model: Exp. [Reconv.] (Exponential)
Plotted Data Set #18 Decay: "\..\export for fluofit.dat" (19)
Plotted Data Set #18 IRF: "\..\IRF 20140118.phd" (1)
X²(reduced): 0.2615 ; Fitted Data Points: 917

Data Set #18
     Decay                 IRF                   Model Decay           Residuals
     t[ns]     Intens.     t[ns]     Intens.     t[ns]     Intens.     t[ns]       diff.
    0.9960         16    1.0420        222    0.9960     15.372    0.9960      0.148
    1.0000          9    1.0460        195    1.0000     15.147    1.0000     -1.853
    1.0040         15    1.0500        254    1.0040     14.939    1.0040      0.015
    1.0080         18    1.0540        213    1.0080     14.716    1.0080      0.734
    1.0120         10    1.0580        225    1.0120     14.498    1.0120     -1.298
    1.0160         12    1.0620        194    1.0160     14.297    1.0160     -0.614
    1.0200         22    1.0660        175    1.0200     14.067    1.0200      1.619
    1.0240         15    1.0700        203    1.0240     13.831    1.0240      0.284
    1.0280         14    1.0740        200    1.0280     13.623    1.0280      0.094
    1.0320         15    1.0780        186    1.0320     13.435    1.0320      0.380
    1.0360         11    1.0820        192    1.0360     13.249    1.0360     -0.624
    1.0400          9    1.0860        187    1.0400     13.054    1.0400     -1.222
    1.0440         11    1.0900        171    1.0440     12.845    1.0440     -0.512
    1.0480          9    1.0940        170    1.0480     12.655    1.0480     -1.102
    1.0520         15    1.0980        174    1.0520     12.496    1.0520      0.607
    1.0560         14    1.1020        158    1.0560     12.318    1.0560      0.420
    1.0600         19    1.1060        188    1.0600     12.140    1.0600      1.497
    1.0640         12    1.1100        169    1.0640     11.936    1.0640      0.017
    1.0680         12    1.1140        149    1.0680     11.740    1.0680      0.069
    1.0720          9    1.1180        150    1.0720     11.573    1.0720     -0.776
    1.0760          9    1.1220        160    1.0760     11.402    1.0760     -0.724
    1.0800         15    1.1260        137    1.0800     11.231    1.0800      0.914
    1.0840         10    1.1300        163    1.0840     11.068    1.0840     -0.308
    1.0880         12    1.1340        160    1.0880     10.900    1.0880      0.294
    1.0920         13    1.1380        168    1.0920     10.726    1.0920      0.587
    1.0960          9    1.1420        139    1.0960     10.560    1.0960     -0.470
    1.1000          8    1.1460        157    1.1000     10.395    1.1000     -0.758
    1.1040         13    1.1500        152    1.1040     10.241    1.1040      0.712
    1.1080          5    1.1540        129    1.1080     10.106    1.1080     -1.937
    1.1120         10    1.1580        142    1.1120      9.950    1.1120      0.014
    1.1160         14    1.1620        118    1.1160      9.786    1.1160      1.053
    1.1200          5    1.1660        141    1.1200      9.635    1.1200     -1.758
    1.1240          6    1.1700        157    1.1240      9.485    1.1240     -1.233
    1.1280         12    1.1740        134    1.1280      9.338    1.1280      0.711
    1.1320          3    1.1780        114    1.1320      9.215    1.1320     -2.952
    1.1360          8    1.1820        122    1.1360      9.097    1.1360     -0.347
    1.1400          5    1.1860        135    1.1400      8.975    1.1400     -1.508
    1.1440         10    1.1900        109    1.1440      8.845    1.1440      0.334
    1.1480         12    1.1940        147    1.1480      8.730    1.1480      0.874
    1.1520          9    1.1980        122    1.1520      8.604    1.1520      0.119
    1.1560          8    1.2020        120    1.1560      8.472    1.1560     -0.149
    1.1600          6    1.2060        116    1.1600      8.342    1.1600     -0.828
    1.1640         12    1.2100        119    1.1640      8.211    1.1640      1.012
    1.1680         11    1.2140        128    1.1680      8.112    1.1680      0.801
    1.1720          6    1.2180         91    1.1720      8.015    1.1720     -0.713
    1.1760          9    1.2220        113    1.1760      7.894    1.1760      0.333
    1.1800          4    1.2260        113    1.1800      7.766    1.1800     -1.563
    1.1840          8    1.2300        114    1.1840      7.657    1.1840      0.109
    1.1880          7    1.2340        100    1.1880      7.547    1.1880     -0.182
    1.1920          5    1.2380         96    1.1920      7.443    1.1920     -0.927
    1.1960          8    1.2420         68    1.1960      7.357    1.1960      0.203
    1.2000          5    1.2460         97    1.2000      7.254    1.2000     -0.855
    1.2040          7    1.2500         95    1.2040      7.151    1.2040     -0.050
    1.2080          7    1.2540         95    1.2080      7.051    1.2080     -0.017
    1.2120          6    1.2580         95    1.2120      6.961    1.2120     -0.340
    1.2160         10    1.2620         74    1.2160      6.862    1.2160      0.906
    1.2200          9    1.2660         77    1.2200      6.750    1.2200      0.678
    1.2240          7    1.2700         83    1.2240      6.659    1.2240      0.114
    1.2280          5    1.2740         84    1.2280      6.572    1.2280     -0.596
    1.2320          8    1.2780         97    1.2320      6.481    1.2320      0.480
    1.2360          7    1.2820         71    1.2360      6.381    1.2360      0.206
    1.2400          6    1.2860         76    1.2400      6.267    1.2400     -0.094
    1.2440          6    1.2900         88    1.2440      6.152    1.2440     -0.054
    1.2480          8    1.2940         68    1.2480      6.062    1.2480      0.613
    1.2520          8    1.2980         77    1.2520      5.975    1.2520      0.641
    1.2560          6    1.3020         79    1.2560      5.890    1.2560      0.039
    1.2600          9    1.3060         80    1.2600      5.797    1.2600      0.966
    1.2640          3    1.3100         82    1.2640      5.694    1.2640     -1.280
    1.2680          4    1.3140         84    1.2680      5.601    1.2680     -0.664
    1.2720          4    1.3180         82    1.2720      5.516    1.2720     -0.629
    1.2760          4    1.3220         64    1.2760      5.442    1.2760     -0.598
    1.2800          1    1.3260         59    1.2800      5.366    1.2800     -3.047
    1.2840          5    1.3300         62    1.2840      5.276    1.2840     -0.105
    1.2880          3    1.3340         73    1.2880      5.200    1.2880     -1.045
    1.2920          5    1.3380         56    1.2920      5.125    1.2920     -0.047
    1.2960          4    1.3420         56    1.2960      5.042    1.2960     -0.433
    1.3000          8    1.3460         63    1.3000      4.971    1.3000      0.958
    1.3040          6    1.3500         74    1.3040      4.904    1.3040      0.388
    1.3080          4    1.3540         67    1.3080      4.841    1.3080     -0.349
    1.3120          6    1.3580         52    1.3120      4.782    1.3120      0.431
    1.3160          4    1.3620         62    1.3160      4.726    1.3160     -0.301
    1.3200          2    1.3660         63    1.3200      4.661    1.3200     -1.539
    1.3240          3    1.3700         47    1.3240      4.581    1.3240     -0.751
    1.3280          3    1.3740         56    1.3280      4.503    1.3280     -0.714
    1.3320          6    1.3780         67    1.3320      4.436    1.3320      0.553
    1.3360          7    1.3820         51    1.3360      4.370    1.3360      0.877
    1.3400          3    1.3860         48    1.3400      4.294    1.3400     -0.615
    1.3440          5    1.3900         43    1.3440      4.225    1.3440      0.294
    1.3480          4    1.3940         38    1.3480      4.170    1.3480     -0.070
    1.3520          7    1.3980         46    1.3520      4.121    1.3520      0.960
    1.3560          1    1.4020         58    1.3560      4.060    1.3560     -2.135
    1.3600          6    1.4060         40    1.3600      3.995    1.3600      0.709
    1.3640          6    1.4100         53    1.3640      3.941    1.3640      0.728
    1.3680          3    1.4140         47    1.3680      3.881    1.3680     -0.418
    1.3720          4    1.4180         56    1.3720      3.816    1.3720      0.077
    1.3760          1    1.4220         43    1.3760      3.766    1.3760     -1.930
    1.3800          5    1.4260         42    1.3800      3.717    1.3800      0.487
    1.3840          8    1.4300         53    1.3840      3.656    1.3840      1.374
    1.3880          7    1.4340         45    1.3880      3.593    1.3880      1.136
    1.3920          1    1.4380         48    1.3920      3.526    1.3920     -1.763
    1.3960          0    1.4420         45    1.3960      3.462    1.3960     -2.518
    1.4000          1    1.4460         43    1.4000      3.413    1.4000     -1.684
    1.4040          6    1.4500         31    1.4040      3.365    1.4040      0.932
    1.4080          1    1.4540         51    1.4080      3.312    1.4080     -1.613
    1.4120          3    1.4580         35    1.4120      3.268    1.4120     -0.127
    1.4160          1    1.4620         40    1.4160      3.225    1.4160     -1.553
    1.4200          4    1.4660         55    1.4200      3.184    1.4200      0.339
    1.4240          1    1.4700         40    1.4240      3.133    1.4240     -1.489
    1.4280          5    1.4740         40    1.4280      3.089    1.4280      0.725
    1.4320          1    1.4780         26    1.4320      3.051    1.4320     -1.432
    1.4360          3    1.4820         46    1.4360      3.010    1.4360     -0.005
    1.4400          3    1.4860         34    1.4400      2.971    1.4400      0.014
    1.4440          3    1.4900         31    1.4440      2.929    1.4440      0.034
    1.4480          4    1.4940         33    1.4480      2.882    1.4480      0.464
    1.4520          3    1.4980         42    1.4520      2.837    1.4520      0.077
    1.4560          4    1.5020         45    1.4560      2.801    1.4560      0.498
    1.4600          3    1.5060         30    1.4600      2.756    1.4600      0.116
    1.4640          2    1.5100         42    1.4640      2.725    1.4640     -0.419
    1.4680          1    1.5140         27    1.4680      2.698    1.4680     -1.185
    1.4720          2    1.5180         32    1.4720      2.660    1.4720     -0.382
    1.4760          1    1.5220         38    1.4760      2.617    1.4760     -1.128
    1.4800          1    1.5260         37    1.4800      2.575    1.4800     -1.099
    1.4840          0    1.5300         41    1.4840      2.543    1.4840     -1.849
    1.4880          2    1.5340         22    1.4880      2.501    1.4880     -0.290
    1.4920          2    1.5380         33    1.4920      2.460    1.4920     -0.266
    1.4960          2    1.5420         39    1.4960      2.427    1.4960     -0.247
    1.5000          0    1.5460         32    1.5000      2.403    1.5000     -1.748
    1.5040          6    1.5500         28    1.5040      2.374    1.5040      1.283
    1.5080          2    1.5540         25    1.5080      2.341    1.5080     -0.197
    1.5120          1    1.5580         34    1.5120      2.310    1.5120     -0.914
    1.5160          1    1.5620         23    1.5160      2.272    1.5160     -0.887
    1.5200          4    1.5660         26    1.5200      2.242    1.5200      0.730
    1.5240          2    1.5700         28    1.5240      2.217    1.5240     -0.125
    1.5280          3    1.5740         26    1.5280      2.193    1.5280      0.383
